                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 2.2197,                 2.6116,                 3.0274,                0.58998,                   0.25,                0.22821,                 0.0353,                  2.474,                 7.8543,                 3.3795,              0.0014855,              0.0014855,              0.0014855
                     34,                 2.3136,                 2.5171,                 2.9908,                0.54557,                   0.25,                0.25368,                0.04019,                 2.4084,                 12.077,                 3.6144,              0.0014855,              0.0014855,              0.0014855
                     35,                 2.3884,                 2.6658,                 3.0489,                0.54645,                   0.25,                0.11403,                0.02214,                 2.4626,                 13.892,                 3.8505,                0.00148,                0.00148,                0.00148
                     36,                 2.3651,                 2.6112,                   2.96,                0.54645,                   0.25,                0.11403,                0.02214,                 2.4626,                 13.892,                 3.8505,              0.0014745,              0.0014745,              0.0014745
                     37,                 2.1923,                 2.6995,                 2.9915,                0.12556,                0.66667,                0.23752,                0.03718,                 2.3552,                 8.1971,                 3.3972,               0.001469,               0.001469,               0.001469
                     38,                 2.2426,                 2.6307,                 2.9553,                0.35366,                   0.75,                0.47899,                0.11399,                 2.3746,                 6.6351,                 3.7308,              0.0014635,              0.0014635,              0.0014635
                     39,                 2.0234,                 2.5835,                 2.8433,                 0.7097,                  0.375,                0.24976,                0.05191,                  2.457,                 6.8968,                 4.1751,               0.001458,               0.001458,               0.001458
                     40,                 2.1351,                 2.5543,                 2.8573,                 0.7097,                  0.375,                0.24976,                0.05191,                  2.457,                 6.8968,                 4.1751,              0.0014525,              0.0014525,              0.0014525
                     41,                 2.2241,                 2.5823,                 2.8746,                0.67471,                   0.25,                0.24426,                 0.0598,                  2.644,                 7.1058,                 4.3455,               0.001447,               0.001447,               0.001447
                     42,                 2.1478,                 2.5347,                 2.9055,                0.10758,                0.54167,                 0.1067,                0.02435,                 3.0185,                   7.71,                  4.418,              0.0014415,              0.0014415,              0.0014415
                     43,                 2.2775,                 2.4089,                 2.9984,                0.57483,                   0.25,                0.09424,                 0.0134,                  3.392,                 8.8901,                 5.0142,               0.001436,               0.001436,               0.001436
                     44,                 2.1749,                 2.4099,                 2.8243,                0.57483,                   0.25,                0.09424,                 0.0134,                  3.392,                 8.8901,                 5.0142,              0.0014305,              0.0014305,              0.0014305
